Year	NoIce	DOY	ENSO	CO2	Airtemp
1581	0	-2	0.76	282.3108	14.806
1582	0	-45	1.211	282.1816	14.424
1583	0	-44	0.333	282.0267	14.768
1584	0	-34	-1.193	281.8445	15.113
1585	0	-17	-1.823	281.6335	13.903
1586	0	-34	1.629	281.3922	13.857
1587	0	-39	0.36	281.1191	14.396
1588	0	-17	0.679	280.8126	14.322
1589	0	-31	0.755	280.4722	15.196
1590	0	-18	-1.676	280.1008	14.964
1591	0	-18	-0.477	279.7022	14.061
1592	0	-34	-0.271	279.2801	14.62
1593	0	32	-0.137	278.8385	14.089
1594		-21	1.565	278.3811	14.285
1595	0	-7	-0.238	277.9118	14.722
1596	0	-6	0.869	277.4344	15.066
1597	0	-49	-0.442	276.9527	15.141
1598	0	-42	-0.959	276.4705	15.075
1599	0	-10	1.956	275.9916	14.908
1600	0	-43	-2.034	275.5199	14.768
1601	0	-2	-0.958	275.0592	13.903
1602	0	-28	0.568	274.6133	15.494
1603	0	-31	1.093	274.186	14.536
1604	0	-17	0.397	273.7811	14.629
1605	0	-44	-0.309	273.4025	15.085
1606	0	-39	-0.272	273.054	14.043
1607	0	-7	-0.958	272.7393	14.945
1608	0	-26	0.37	272.4624	14.424
1609	0	-44	-0.055	272.227	14.378
1610	0	-31	1.196	272.0369	14.071
1611	0	-40	0.328	271.8949	15.001
1612	0	-6	0.075	271.7991	14.573
1613	0	-22	-1.13	271.7466	15.038
1614	0	-41	-0.357	271.7345	14.992
1615	0	-9	0.122	271.7599	13.782
1616	0	-40	-0.287	271.8199	15.438
1617	0	-29	0.37	271.9114	15.01
1618	0	-21	0.235	272.0316	14.843
1619	0	-21	-0.258	272.1776	14.638
1620	0	-54	0.309	272.3464	13.95
1621	0	-24	1.91	272.5351	14.694
1622	0	-19	-0.355	272.7408	15.634
1623	0	-7	-0.936	272.9606	14.061
1624	0	-9	-0.808	273.1914	14.703
1625	0	-23	0.387	273.4305	15.28
1626	0	-22	-1.477	273.6749	14.629
1627	0	-23	0.574	273.9216	15.289
1628	0	-41	0.264	274.1677	15.885
1629	0	-11	1.193	274.4103	14.936
1630	0	-40	0.856	274.6469	15.02
1631	0	-7	-0.713	274.8767	14.527
1632	0	-13	-2.415	275.0994	14.852
1633	0	-22	0.285	275.3145	14.834
1634	0	-34	0.488	275.5216	14.173
1635	0	-29	1.404	275.7205	14.703
1636	0	-20	0.223	275.9108	15.327
1637	0	-31	-1.019	276.0919	15.075
1638	0	-10	-0.998	276.2637	14.88
1639	0	-12	0.573	276.4257	14.322
1640	0	-13	0.995	276.5776	15.224
1641	0	-47	-0.189	276.719	13.299
1642	0	-6	0.542	276.8502	14.675
1643	0	-26	0.074	276.9714	14.75
1644	0	-30	0.167	277.0828	15.848
1645	0	-19	-1.775	277.1848	15.289
1646	0	9	0.557	277.2777	14.768
1647	0	-27	1.34	277.3615	15.094
1648	0	-33	-2.14	277.4368	14.768
1649	0	-26	0.274	277.5036	14.489
1650	0	-17	0.059	277.5623	14.666
1651	0	-18	2.332	277.6132	14.545
1652	0	-25	0.349	277.6564	15.131
1653	0	-18	-1.129	277.6924	13.913
1654	0	-24	-2.918	277.7212	15.206
1655	0	-21	0.807	277.7433	14.052
1656	0	-21	1.773	277.7589	13.931
1657	0	-7	-0.446	277.7682	13.448
1658	0	-34	-0.272	277.7714	14.378
1659	0	-21	-0.505	277.769	15.159
1660	0	-20	0.265	277.7611	14.452
1661	0	-13	1.125	277.748	14.508
1662	0	-30	0.485	277.73	15.652
1663	0	-21	-0.048	277.7073	14.629
1664	0	-36	-0.824	277.6802	14.88
1665	0	-34	0.49	277.649	14.238
1666	0	-26	0.144	277.6139	15.643
1667	0	-21	-0.528	277.5752	14.452
1668	0	-46	-0.85	277.5332	13.764
1669	0	-6	0.09	277.4881	14.908
1670	0	-25	-1.346	277.4402	14.461
1671	1	41	0.93	277.3898	13.634
1672	0	-36	0.555	277.3372	15.113
1673	0	-9	-0.209	277.2825	14.759
1674	0	-13	1.485	277.2261	15.085
1675	0	-10	-0.573	277.1682	15.141
1676	0	-26	-1.312	277.1091	14.099
1677	0	2	0.547	277.0491	14.275
1678	0	-26	0.593	276.9884	14.675
1679	0	-34	-1.207	276.9273	14.294
1680	0	-34	1.686	276.8661	14.824
1681	0	-10	-0.621	276.805	15.187
