Reconstructed monthly NAO index back to Dec 1658.

References:
========

Luterbacher, J., Xoplaki, E., Dietrich, D., Jones, P.D., Davies, T.D.,
Portis, D., Gonzalez-Rouco, J.F., von Storch, H., Gyalistras, D., Casty,
C., and Wanner, H., 2002. Extending North Atlantic Oscillation
Reconstructions Back to 1500. Atmos. Sci. Lett., 2, 114-124 
(doi:10.1006/asle.2001.0044).

Luterbacher, J., C. Schmutz, D. Gyalistras, E. Xoplaki, and H. Wanner, 1999: Reconstruction of monthly NAO and EU indices back to AD 1675,
Geophys. Res. Lett., 26, 2745-2748.


Contact Juerg Luterbacher (juerg@giub.unibe.ch) for further information, other reconstructed atmospheric circulation indices and reprints.


Reconstructed monthly NAO index back to December 1658
========================================================= 

Note, the monthly values from December 1658 to November 1900 are our
reconstructions, the data from December 1900 to July 2001 
are derived from Trenberth and Paolino (1980, updated, data are available through: http://dss.ucar.edu/datasets/ds010.1/data/)

Year	Mon	NAO
1658	Dec	-0.30
1659	Jan	0.16
1659	Feb	-0.61
1659	Mar	-0.34
1659	Apr	-0.48
1659	May	-0.23
1659	Jun	0.27
1659	Jul	0.01
1659	Aug	0.10
1659	Sep	-0.44
1659	Oct	0.10
1659	Nov	-0.20
1659	Dec	-1.65
1660	Jan	-3.01
1660	Feb	-0.51
1660	Mar	-0.04
1660	Apr	0.23
1660	May	0.02
1660	Jun	-0.12
1660	Jul	0.08
1660	Aug	0.16
1660	Sep	0.37
1660	Oct	-0.45
1660	Nov	-0.80
1660	Dec	0.93
1661	Jan	0.71
1661	Feb	1.26
1661	Mar	0.16
1661	Apr	0.25
1661	May	-0.33
1661	Jun	0.06
1661	Jul	0.23
1661	Aug	0.70
1661	Sep	0.08
1661	Oct	0.16
1661	Nov	0.51
1661	Dec	1.36
1662	Jan	1.40
1662	Feb	1.20
1662	Mar	0.53
1662	Apr	0.34
1662	May	-0.93
1662	Jun	-0.18
1662	Jul	0.12
1662	Aug	0.09
1662	Sep	-0.14
1662	Oct	-0.19
1662	Nov	0.23
1662	Dec	-1.45
1663	Jan	-2.58
1663	Feb	-2.35
1663	Mar	-0.34
1663	Apr	-0.56
1663	May	-0.35
1663	Jun	0.03
1663	Jul	0.14
1663	Aug	0.11
1663	Sep	-0.03
1663	Oct	-0.18
1663	Nov	-0.25
1663	Dec	0.20
1664	Jan	0.10
1664	Feb	0.41
1664	Mar	-0.43
1664	Apr	-0.28
1664	May	-0.26
1664	Jun	-0.04
1664	Jul	0.07
1664	Aug	0.11
1664	Sep	-0.15
1664	Oct	-0.95
1664	Nov	-0.37
1664	Dec	-0.87
1665	Jan	-2.52
1665	Feb	-2.20
1665	Mar	-0.95
1665	Apr	-0.85
1665	May	-0.20
1665	Jun	0.00
1665	Jul	0.19
1665	Aug	0.28
1665	Sep	0.07
1665	Oct	-0.71
1665	Nov	-0.40
1665	Dec	-1.05
1666	Jan	-0.34
1666	Feb	0.17
1666	Mar	-0.65
1666	Apr	0.02
1666	May	0.26
1666	Jun	-0.14
1666	Jul	-0.15
1666	Aug	0.01
1666	Sep	0.07
1666	Oct	-0.39
1666	Nov	-0.31
1666	Dec	-1.37
1667	Jan	-2.70
1667	Feb	1.09
1667	Mar	-0.84
1667	Apr	-0.39
1667	May	-0.95
1667	Jun	-0.40
1667	Jul	0.03
1667	Aug	-0.01
1667	Sep	-0.10
1667	Oct	-0.33
1667	Nov	-0.63
1667	Dec	-0.42
1668	Jan	0.87
1668	Feb	0.45
1668	Mar	-0.26
1668	Apr	-0.41
1668	May	-0.82
1668	Jun	0.26
1668	Jul	0.11
1668	Aug	0.08
1668	Sep	-0.28
1668	Oct	0.31
1668	Nov	0.44
1668	Dec	1.13
1669	Jan	-1.42
1669	Feb	0.09
1669	Mar	-0.25
1669	Apr	-0.94
1669	May	-0.51
1669	Jun	0.10
1669	Jul	0.07
1669	Aug	0.03
1669	Sep	0.42
1669	Oct	0.18
1669	Nov	-0.09
1669	Dec	-1.91
1670	Jan	-0.55
1670	Feb	-2.36
1670	Mar	0.31
1670	Apr	-0.55
1670	May	-0.33
1670	Jun	-0.02
1670	Jul	0.06
1670	Aug	-0.32
1670	Sep	0.57
1670	Oct	0.01
1670	Nov	-0.46
1670	Dec	-0.44
1671	Jan	1.10
1671	Feb	0.54
1671	Mar	-0.32
1671	Apr	0.05
1671	May	-0.30
1671	Jun	0.08
1671	Jul	-0.14
1671	Aug	0.09
1671	Sep	0.08
1671	Oct	-0.07
1671	Nov	-0.29
1671	Dec	-0.08
1672	Jan	-0.85
1672	Feb	-0.98
1672	Mar	0.21
1672	Apr	-0.51
1672	May	-0.53
1672	Jun	-0.38
1672	Jul	0.19
1672	Aug	0.29
1672	Sep	-0.26
1672	Oct	0.28
1672	Nov	0.18
1672	Dec	0.23
1673	Jan	1.03
1673	Feb	0.26
1673	Mar	-0.22
1673	Apr	-0.51
1673	May	0.13
1673	Jun	-0.11
1673	Jul	0.15
1673	Aug	0.14
1673	Sep	-0.27
1673	Oct	-0.44
1673	Nov	-0.61
1673	Dec	-0.81
1674	Jan	-0.74
1674	Feb	-1.21
1674	Mar	-0.74
1674	Apr	0.09
1674	May	-0.36
1674	Jun	0.23
1674	Jul	0.15
1674	Aug	0.42
1674	Sep	-0.89
1674	Oct	-0.11
1674	Nov	-0.19
1674	Dec	0.10
1675	Jan	1.04
1675	Feb	0.27
1675	Mar	-0.82
1675	Apr	-0.54
1675	May	-0.77
1675	Jun	0.14
1675	Jul	-0.12
1675	Aug	-0.12
1675	Sep	-1.10
1675	Oct	-0.82
1675	Nov	-1.62
1675	Dec	0.79
1676	Jan	0.87
1676	Feb	1.20
1676	Mar	-0.93
1676	Apr	-0.41
1676	May	0.29
1676	Jun	0.02
1676	Jul	0.21
1676	Aug	-0.12
1676	Sep	0.12
1676	Oct	-0.43
1676	Nov	-1.91
1676	Dec	-0.94
1677	Jan	0.47
1677	Feb	0.44
1677	Mar	-0.50
1677	Apr	-0.89
1677	May	-1.11
1677	Jun	-0.72
1677	Jul	0.16
1677	Aug	0.25
1677	Sep	-0.13
1677	Oct	-0.75
1677	Nov	-0.50
1677	Dec	-0.97
1678	Jan	0.65
1678	Feb	0.65
1678	Mar	-0.61
1678	Apr	-0.12
1678	May	-0.07
1678	Jun	0.11
1678	Jul	0.41
1678	Aug	0.74
1678	Sep	1.78
1678	Oct	-0.01
1678	Nov	-0.40
1678	Dec	-0.62
1679	Jan	-1.04
1679	Feb	-1.03
1679	Mar	-0.95
1679	Apr	0.01
1679	May	-0.13
1679	Jun	-0.06
1679	Jul	0.29
1679	Aug	0.24
1679	Sep	0.03
1679	Oct	0.49
1679	Nov	-1.44
1679	Dec	-0.01
1680	Jan	1.30
1680	Feb	1.41
1680	Mar	2.14
1680	Apr	1.26
1680	May	0.87
1680	Jun	-0.13
1680	Jul	0.44
1680	Aug	0.34
1680	Sep	1.43
1680	Oct	1.06
1680	Nov	0.35
1680	Dec	-0.92
1681	Jan	-1.18
1681	Feb	-0.43
1681	Mar	-0.52
1681	Apr	-0.04
1681	May	-0.42
1681	Jun	-0.09
1681	Jul	0.43
1681	Aug	0.14
1681	Sep	0.59
1681	Oct	0.41
1681	Nov	0.64
1681	Dec	-0.38
1682	Jan	1.61
1682	Feb	0.60
1682	Mar	0.02
1682	Apr	-0.66
1682	May	0.21
1682	Jun	0.26
1682	Jul	0.38
1682	Aug	0.50
1682	Sep	-0.47
1682	Oct	-0.20
1682	Nov	0.02
1682	Dec	1.28
1683	Jan	0.51
1683	Feb	0.18
1683	Mar	0.81
1683	Apr	0.13
1683	May	-0.23
1683	Jun	-0.52
1683	Jul	0.43
1683	Aug	0.50
1683	Sep	0.47
1683	Oct	-1.20
1683	Nov	-0.90
1683	Dec	-1.04
1684	Jan	-1.93
1684	Feb	-3.08
1684	Mar	-0.57
1684	Apr	-1.00
1684	May	0.61
1684	Jun	-0.60
1684	Jul	0.58
1684	Aug	0.53
1684	Sep	-0.16
1684	Oct	0.47
1684	Nov	-1.19
1684	Dec	0.29
1685	Jan	-1.01
1685	Feb	0.01
1685	Mar	-1.13
1685	Apr	0.26
1685	May	1.07
1685	Jun	-0.22
1685	Jul	-0.19
1685	Aug	-0.34
1685	Sep	-1.15
1685	Oct	0.61
1685	Nov	0.06
1685	Dec	1.00
1686	Jan	1.73
1686	Feb	0.79
1686	Mar	0.41
1686	Apr	-0.23
1686	May	0.38
1686	Jun	-0.15
1686	Jul	0.12
1686	Aug	0.27
1686	Sep	0.31
1686	Oct	0.01
1686	Nov	-0.38
1686	Dec	0.43
1687	Jan	0.11
1687	Feb	0.39
1687	Mar	-0.13
1687	Apr	0.13
1687	May	-0.98
1687	Jun	0.18
1687	Jul	0.11
1687	Aug	0.68
1687	Sep	-0.81
1687	Oct	0.60
1687	Nov	0.63
1687	Dec	0.64
1688	Jan	-1.48
1688	Feb	-1.32
1688	Mar	-1.00
1688	Apr	-0.53
1688	May	-0.23
1688	Jun	-0.52
1688	Jul	-0.27
1688	Aug	-0.47
1688	Sep	-0.02
1688	Oct	-1.09
1688	Nov	-0.47
1688	Dec	0.19
1689	Jan	-0.98
1689	Feb	0.44
1689	Mar	-0.64
1689	Apr	0.24
1689	May	-0.45
1689	Jun	-0.08
1689	Jul	0.34
1689	Aug	0.32
1689	Sep	0.00
1689	Oct	-0.36
1689	Nov	-0.87
1689	Dec	0.44
1690	Jan	1.00
1690	Feb	0.68
1690	Mar	-0.67
1690	Apr	-0.45
1690	May	-0.43
1690	Jun	0.28
1690	Jul	0.24
1690	Aug	0.23
1690	Sep	-0.66
1690	Oct	-0.05
1690	Nov	0.24
1690	Dec	-0.11
1691	Jan	-1.17
1691	Feb	-1.07
1691	Mar	-0.61
1691	Apr	-0.49
1691	May	-0.31
1691	Jun	-0.77
1691	Jul	-0.42
1691	Aug	-0.37
1691	Sep	-0.71
1691	Oct	-0.42
1691	Nov	-2.22
1691	Dec	-0.22
1692	Jan	-1.30
1692	Feb	-1.52
1692	Mar	-0.86
1692	Apr	0.08
1692	May	-0.34
1692	Jun	-0.01
1692	Jul	0.21
1692	Aug	0.35
1692	Sep	-0.29
1692	Oct	-1.12
