Mon	Year	NAO
Dec	1658	-0.3
Jan	1659	0.16
Feb	1659	-0.61
Mar	1659	-0.34
Apr	1659	-0.48
May	1659	-0.23
Jun	1659	0.27
Jul	1659	0.01
Aug	1659	0.1
Sep	1659	-0.44
Oct	1659	0.1
Nov	1659	-0.2
Dec	1659	-1.65
Jan	1660	-3.01
Feb	1660	-0.51
Mar	1660	-0.04
Apr	1660	0.23
May	1660	0.02
Jun	1660	-0.12
Jul	1660	0.08
Aug	1660	0.16
Sep	1660	0.37
Oct	1660	-0.45
Nov	1660	-0.8
Dec	1660	0.93
Jan	1661	0.71
Feb	1661	1.26
Mar	1661	0.16
Apr	1661	0.25
May	1661	-0.33
Jun	1661	0.06
Jul	1661	0.23
Aug	1661	0.7
Sep	1661	0.08
Oct	1661	0.16
Nov	1661	0.51
Dec	1661	1.36
Jan	1662	1.4
Feb	1662	1.2
Mar	1662	0.53
Apr	1662	0.34
May	1662	-0.93
Jun	1662	-0.18
Jul	1662	0.12
Aug	1662	0.09
Sep	1662	-0.14
Oct	1662	-0.19
Nov	1662	0.23
Dec	1662	-1.45
Jan	1663	-2.58
Feb	1663	-2.35
Mar	1663	-0.34
Apr	1663	-0.56
May	1663	-0.35
Jun	1663	0.03
Jul	1663	0.14
Aug	1663	0.11
Sep	1663	-0.03
Oct	1663	-0.18
Nov	1663	-0.25
Dec	1663	0.2
Jan	1664	0.1
Feb	1664	0.41
Mar	1664	-0.43
Apr	1664	-0.28
May	1664	-0.26
Jun	1664	-0.04
Jul	1664	0.07
Aug	1664	0.11
Sep	1664	-0.15
Oct	1664	-0.95
Nov	1664	-0.37
Dec	1664	-0.87
Jan	1665	-2.52
Feb	1665	-2.2
Mar	1665	-0.95
Apr	1665	-0.85
May	1665	-0.2
Jun	1665	0
Jul	1665	0.19
Aug	1665	0.28
Sep	1665	0.07
Oct	1665	-0.71
Nov	1665	-0.4
Dec	1665	-1.05
Jan	1666	-0.34
Feb	1666	0.17
Mar	1666	-0.65
Apr	1666	0.02
May	1666	0.26
Jun	1666	-0.14
Jul	1666	-0.15
Aug	1666	0.01
Sep	1666	0.07
Oct	1666	-0.39
Nov	1666	-0.31
Dec	1666	-1.37
Jan	1667	-2.7
Feb	1667	1.09
Mar	1667	-0.84
Apr	1667	-0.39
May	1667	-0.95
Jun	1667	-0.4
Jul	1667	0.03
Aug	1667	-0.01
Sep	1667	-0.1
Oct	1667	-0.33
Nov	1667	-0.63
Dec	1667	-0.42
Jan	1668	0.87
Feb	1668	0.45
Mar	1668	-0.26
Apr	1668	-0.41
May	1668	-0.82
Jun	1668	0.26
Jul	1668	0.11
Aug	1668	0.08
Sep	1668	-0.28
Oct	1668	0.31
Nov	1668	0.44
Dec	1668	1.13
Jan	1669	-1.42
Feb	1669	0.09
Mar	1669	-0.25
Apr	1669	-0.94
May	1669	-0.51
Jun	1669	0.1
Jul	1669	0.07
Aug	1669	0.03
Sep	1669	0.42
Oct	1669	0.18
Nov	1669	-0.09
Dec	1669	-1.91
Jan	1670	-0.55
Feb	1670	-2.36
Mar	1670	0.31
Apr	1670	-0.55
May	1670	-0.33
Jun	1670	-0.02
Jul	1670	0.06
Aug	1670	-0.32
Sep	1670	0.57
Oct	1670	0.01
Nov	1670	-0.46
Dec	1670	-0.44
Jan	1671	1.1
Feb	1671	0.54
Mar	1671	-0.32
Apr	1671	0.05
May	1671	-0.3
Jun	1671	0.08
Jul	1671	-0.14
Aug	1671	0.09
Sep	1671	0.08
Oct	1671	-0.07
Nov	1671	-0.29
Dec	1671	-0.08
Jan	1672	-0.85
Feb	1672	-0.98
Mar	1672	0.21
Apr	1672	-0.51
May	1672	-0.53
Jun	1672	-0.38
Jul	1672	0.19
Aug	1672	0.29
Sep	1672	-0.26
Oct	1672	0.28
Nov	1672	0.18
Dec	1672	0.23
Jan	1673	1.03
Feb	1673	0.26
Mar	1673	-0.22
Apr	1673	-0.51
May	1673	0.13
Jun	1673	-0.11
Jul	1673	0.15
Aug	1673	0.14
Sep	1673	-0.27
Oct	1673	-0.44
Nov	1673	-0.61
Dec	1673	-0.81
Jan	1674	-0.74
Feb	1674	-1.21
Mar	1674	-0.74
Apr	1674	0.09
May	1674	-0.36
Jun	1674	0.23
Jul	1674	0.15
Aug	1674	0.42
Sep	1674	-0.89
Oct	1674	-0.11
Nov	1674	-0.19
Dec	1674	0.1
Jan	1675	1.04
Feb	1675	0.27
Mar	1675	-0.82
Apr	1675	-0.54
May	1675	-0.77
Jun	1675	0.14
Jul	1675	-0.12
Aug	1675	-0.12
Sep	1675	-1.1
Oct	1675	-0.82
Nov	1675	-1.62
Dec	1675	0.79
Jan	1676	0.87
Feb	1676	1.2
Mar	1676	-0.93
Apr	1676	-0.41
May	1676	0.29
Jun	1676	0.02
Jul	1676	0.21
Aug	1676	-0.12
Sep	1676	0.12
