year	doy.on	doy.off	aod	reff
1720	18	99	0.005	0.2
1721	10	99	0.001	0.2
1722	0	101	0	0.2
1723	17	98	0.003	0.2
1724	30	101	0.001	0.2
1725	26	92	0	0.2
1726	-6	101	0	0.2
1727	9	103	0	0.2
1728	1	102	0	0.2
1729	8	84	0	0.2
1730	-2	102	0	0.2
1731	11	116	0.024	0.29
1732	17	99	0.008	0.2
1733	15	97	0.002	0.2
1734	4	113	0	0.2
1735	12	108	0	0.2
1736	7	99	0	0.2
1737	19	109	0	0.2
1738	8	108	0	0.2
1739	3	102	0.017	0.26
1740	23	92	0.035	0.33
1741	17	88	0.008	0.2
1742	-4	107	0.002	0.2
1743	0	104	0	0.2
1744	10	107	0	0.2
1745	11	107	0	0.2
1746	11	95	0	0.2
1747	16	99	0.005	0.2
1748	25	96	0.001	0.2
1749	16	98	0	0.2
1750	7	114	0	0.2
1751	43	74	0	0.2
1752	21	106	0	0.2
1753	14	100	0	0.2
1754	35	93	0	0.2
1755	6	98	0	0.2
1756	13	101	0	0.2
1757	5	95	0	0.2
1758	31	97	0	0.2
1759	10	97	0	0.2
1760	22	99	0.005	0.2
1761	3	99	0.001	0.2
1762	12	99	0.024	0.29
1763	18	85	0.007	0.2
1764	3	109	0.002	0.2
1765	8	102	0	0.2
1766	19	101	0	0.2
1767	16	94	0	0.2
1768	8	91	0	0.2
1769	17	104	0	0.2
1770	21	97	0	0.2
1771	14	102	0	0.2
1772	-3	99	0.006	0.2
1773	13	87	0.002	0.2
1774	0	101	0	0.2
1775	12	76	0	0.2
1776	17	87	0	0.2
1777	14	103	0	0.2
1778	20	107	0.005	0.2
1779	15	109	0.006	0.2
1780	13	76	0.001	0.2
1781	10	107	0	0.2
1782	-7	106	0	0.2
1783	15	103	0.009	0.21
1784	17	93	0.042	0.35
1785	18	86	0.01	0.22
1786	5	106	0.002	0.2
1787	-3	106	0	0.2
1788	8	114	0.011	0.22
1789	26	91	0.003	0.2
1790	27	86	0.001	0.2
1791	29	105	0	0.2
1792	16	89	0	0.2
1793	16	96	0	0.2
1794	2	95	0	0.2
1795	20	103	0	0.2
1796	12	96	0.018	0.26
1797	20	101	0.006	0.2
1798	0	100	0.001	0.2
1799	12	109	0	0.2
1800	7	83	0	0.2
1801	5	94	0.012	0.23
1802	6	98	0.004	0.2
1803	4	113	0.001	0.2
1804	7	114	0.018	0.27
1805	29	100	0.006	0.2
1806	22	92	0.001	0.2
1807	27	97	0	0.2
1808	2	105	0	0.2
1809	15	108	0.198	0.59
1810	5	120	0.18	0.57
1811	7	103	0.067	0.41
1812	-8	110	0.025	0.29
1813	6	116	0.009	0.21
1814	-6	97	0	0.2
1815	-5	104	0.199	0.59
1816	3	90	0.364	0.72
1817	7	102	0.194	0.58
1818	20	91	0.073	0.42
1819	2	107	0.027	0.3
1820	4	87	0.003	0.2
1821	17	85	0	0.2
1822	10	97	0	0.2
1823	7	105	0	0.2
1824	30	105	0	0.2
1825	19	89	0	0.2
1826	17	75	0	0.2
1827	14	90	0	0.2
1828	10	105	0	0.2
1829	21	88	0	0.2
1830	21	106	0	0.2
1831	3	94	0.01	0.22
1832	6	88	0.098	0.47
1833	5	111	0.048	0.37
1834	14	96	0.018	0.26
