"year"	"no.ice"	"doy"	"enso"	"co2"	"sunspots"	"air.t.as"	"aod"	"reff"
1443	0	6	0.502	285.1375	NA	NA	0.04	0.35
1444	0	-9	-0.558	285.3736	NA	NA	0.015	0.25
1445	0	-1	-0.552	285.5992	NA	NA	0.012	0.23
1446	0	0	-0.223	285.8144	NA	NA	0.003	0.2
1447	0	-2	0.446	286.0193	NA	NA	0	0.2
1448	0	6	-0.346	286.2141	NA	NA	0	0.2
1449	0	11	0.518	286.399	NA	NA	0	0.2
1450	0	6	-0.885	286.5741	NA	NA	0	0.2
1451	0	21	1.238	286.7395	NA	NA	0.022	0.28
1452	0	-4	0.064	286.8955	NA	NA	0.007	0.2
1453	0	1	0.454	287.0422	NA	NA	0.002	0.2
1454	0	3	0.212	287.1797	NA	NA	0.015	0.25
1455	0	-1	-1.618	287.3082	NA	NA	0.056	0.39
1456	0	3	-0.222	287.4278	NA	NA	0.272	0.65
1457	NA	NA	0.052	287.5387	NA	NA	0.193	0.58
1458	0	4	1.186	287.6411	NA	NA	0.089	0.45
1459	0	-12	-0.703	287.7352	NA	NA	0.059	0.39
1460	0	8	-0.511	287.821	NA	NA	0.047	0.37
1461	0	13	0.119	287.8987	NA	NA	0.009	0.21
1462	0	-3	1.41	287.9685	NA	NA	0.002	0.2
1463	0	8	0.237	288.0306	NA	NA	0.012	0.23
1464	0	9	-1.721	288.0851	NA	NA	0.015	0.25
1465	0	-21	-1.286	288.1321	NA	NA	0.003	0.2
1466	0	19	1.477	288.1719	NA	NA	0.001	0.2
1467	0	10	1.795	288.2045	NA	NA	0.002	0.2
1468	0	9	-1.16	288.2302	NA	NA	0.002	0.2
1469	0	32	0.477	288.249	NA	NA	0	0.2
1470	0	-6	0.309	288.2612	NA	NA	0	0.2
1471	0	-10	-1.75	288.2669	NA	NA	0.008	0.2
1472	0	-8	0.541	288.2662	NA	NA	0.002	0.2
1473	0	2	0.573	288.2593	NA	NA	0.001	0.2
1474	0	0	0.007	288.2465	NA	NA	0.014	0.24
1475	0	-1	-1.605	288.2277	NA	NA	0.004	0.2
1476	0	5	0.134	288.2032	NA	NA	0.001	0.2
1477	0	16	0.934	288.1732	NA	NA	0	0.2
1478	0	15	1.209	288.1378	NA	NA	0	0.2
1479	0	4	-0.715	288.0971	NA	NA	0	0.2
1480	0	2	-1.107	288.0513	NA	NA	0.011	0.23
1481	0	14	0.122	288.0006	NA	NA	0.015	0.25
1482	0	23	0.425	287.9451	NA	NA	0.008	0.2
1483	0	-1	-1.392	287.8849	NA	NA	0.002	0.2
1484	0	0	1.807	287.8204	NA	NA	0	0.2
1485	0	9	0.119	287.7515	NA	NA	0	0.2
1486	0	10	1.321	287.6784	NA	NA	0	0.2
1487	0	35	-0.715	287.6014	NA	NA	0	0.2
1488	0	19	-1.142	287.5205	NA	NA	0	0.2
1489	0	-8	-0.085	287.436	NA	NA	0.008	0.2
1490	0	39	0.318	287.3479	NA	NA	0.002	0.2
1491	0	4	0.578	287.2564	NA	NA	0.001	0.2
1492	0	0	-0.168	287.1617	NA	NA	0	0.2
1493	0	4	0.322	287.064	NA	NA	0.01	0.22
1494	0	7	0.849	286.9634	NA	NA	0.014	0.24
1495	0	2	-1.856	286.86	NA	NA	0.003	0.2
1496	0	21	-0.892	286.7541	NA	NA	0.001	0.2
1497	0	-21	-0.612	286.6457	NA	NA	0.007	0.2
1498	0	12	2.312	286.535	NA	NA	0.002	0.2
1499	0	-14	1.078	286.4223	NA	NA	0	0.2
1500	0	-5	-1.231	286.3075	NA	NA	0	0.2
1501	0	14	-0.187	286.191	NA	NA	0	0.2
1502	0	10	-0.601	286.0728	NA	NA	0	0.2
1503	0	-17	-0.158	285.9531	NA	NA	0.01	0.22
1504	0	-1	1.173	285.8321	NA	NA	0.003	0.2
1505	NA	NA	0.181	285.7099	NA	NA	0.008	0.2
1506	0	-12	-2.08	285.5867	NA	NA	0.008	0.21
1507	NA	NA	0.782	285.4627	NA	NA	0.002	0.2
1508	NA	NA	0.271	285.3379	NA	NA	0.021	0.28
1509	NA	NA	0.718	285.2126	NA	NA	0.012	0.23
1510	NA	NA	-1.041	285.0868	NA	NA	0.003	0.2
1511	NA	NA	1.21	284.9609	NA	NA	0.001	0.2
1512	NA	NA	-0.269	284.8348	NA	NA	0	0.2
1513	NA	NA	-0.294	284.7089	NA	NA	0	0.2
