# Global and Hemisperic 1200 Year Volcanic Climate Forcing Estimates
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite original reference when using these data,
# plus the Online Resource and date accessed.
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:14168
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/climate_forcing/volcanic_aerosols/crowley2013/crowley2013aod-reff.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Forcing
#--------------------
# Contribution_Date
#	Date: 2013-03-22
#--------------------
# Title
#	Study_Name: Global and Hemisperic 1200 Year Volcanic Climate Forcing Estimates 
#--------------------
# Investigators
#       Investigators: Crowley, T.J.; Unterman, M.B.
#--------------------
# Description_and_Notes
#	Description:  Supplemental Table 3 - Inferred yearly global average aerosol optical depth (AOD) (at 550 nm) and effective aerosol radius (Reff) in um
#--------------------
# Publication 
#       Authors: T. J. Crowley and M. B. Unterman
#       Published_Date_or_Year:  2013-05-23      
#       Published_Title: Technical details concerning development of a 1200-yr proxy index for global volcanism
#       Journal_Name: Earth System Science Data 
#       Volume: 5
#       Pages: 187-197
#       DOI: 10.5194/essd-5-187-2013
#       Abstract: This report describes details of developing a volcano forcing reconstruction (Crowley et al., 2008) for climate models that is based primarily on sulphate records in Antarctic and Greenland ice cores. The chronology of eruptions is considered accurate to within 1 yr for the interval AD 1104-2000 and about 2 yr for AD 800-1103. The reconstruction involves (1) calibration against satellite aerosol optical depth (AOD) estimates of the 1991 Pinatubo/Hudson eruptions; (2) partial validation against independent lunar estimates of AOD and global sulphate emissions; (3) partial assessment of uncertainties in AOD estimates; (4) assessment of possible tropical "false positives" in ice core reconstructions due to simultaneous occurrence of mid/high-latitude eruptions in each hemisphere; (5) identification of a new category of eruptions, termed "unipolar" tropical eruptions, in which the eruption plume penetrates mainly to polar regions in only the hemisphere of its eruption; (6) use of different growth curves for high- and low-latitude eruptions; (7) specification of 2/3 power shortwave scaling for eruptions larger than the 1991 Pinatubo eruption; (8) introduction of an estimate of effective particle size that affects lifetime and scattering properties of stratospheric aerosols; and (9) utilization of bimonthly-resolution electrical conductivity measurements to estimate the eruption date of the 1258/1259 eruption as 1257.7 +/- 0.2. The data, and a high-temporal resolution reconstruction for climate models, are available at: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:14168. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Global
#       Location: Geographic Region>Global
#	Country: 
#	Northernmost_Latitude: 90.0
# 	Southernmost_Latitude: -90.0
# 	Easternmost_Longitude: 180.0
# 	Westernmost_Longitude: -180.0
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: Crowley2013AOD-Reff
#	Earliest_Year: 800
#	Most_Recent_Year: 2000
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Chronology: 
#
# 
# 	
#----------------	
# Variables 
# End Description/Documentation (lines begin with #)
# Data lines follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: material, error, units, anomaly, period, archive, detail, method, C or N for Character or Numeric data) 
# Data line format: tab-delimited text, variable short name as header


age_AD	Age (years AD), , , AD, , , , ,N
AOD	aerosol optical depth at at 550 nm, , , , , , , ,N 
Reff	effective aerosol radius, , , um, , , , ,N

age_AD	AOD	Reff
800	0.007	0.2
801	0.002	0.2
802	0.005	0.2
803	0.011	0.22
804	0.003	0.2
805	0.001	0.2
806	0.014	0.25
807	0.004	0.2
808	0.001	0.2
809	0	0.2
810	0	0.2
811	0	0.2
812	0	0.2
813	0	0.2
814	0.043	0.35
815	0.014	0.25
816	0.034	0.33
817	0.011	0.22
818	0.002	0.2
819	0	0.2
820	0	0.2
821	0.036	0.33
822	0.012	0.23
823	0.003	0.2
824	0	0.2
825	0.013	0.24
826	0.004	0.2
827	0.018	0.26
828	0.005	0.2
829	0.001	0.2
830	0	0.2
831	0	0.2
832	0	0.2
833	0.013	0.24
834	0.004	0.2
835	0.017	0.26
836	0.005	0.2
837	0.001	0.2
838	0	0.2
839	0	0.2
840	0	0.2
841	0.029	0.31
842	0.092	0.45
843	0.038	0.34
844	0.014	0.24
845	0.027	0.3
846	0.008	0.21
847	0.009	0.21
848	0.028	0.31
849	0.006	0.2
850	0.006	0.2
851	0.018	0.26
852	0.004	0.2
853	0.001	0.2
854	0.075	0.42
855	0.06	0.4
856	0.022	0.28
857	0.008	0.2
858	0.011	0.22
859	0.002	0.2
860	0.001	0.2
861	0	0.2
862	0	0.2
863	0	0.2
864	0	0.2
865	0	0.2
866	0	0.2
867	0	0.2
868	0	0.2
869	0	0.2
870	0	0.2
871	0	0.2
872	0	0.2
873	0	0.2
874	0.02	0.27
875	0.006	0.2
876	0.005	0.2
877	0.001	0.2
878	0	0.2
879	0	0.2
880	0	0.2
881	0.008	0.2
882	0.002	0.2
883	0.001	0.2
884	0	0.2
885	0	0.2
886	0	0.2
887	0	0.2
888	0	0.2
889	0	0.2
890	0	0.2
891	0	0.2
892	0	0.2
893	0	0.2
894	0	0.2
895	0	0.2
896	0.027	0.3
897	0.108	0.48
898	0.044	0.36
899	0.016	0.26
900	0.006	0.2
901	0.008	0.2
902	0.002	0.2
903	0.008	0.2
904	0.002	0.2
905	0	0.2
906	0	0.2
907	0.004	0.2
908	0.001	0.2
909	0	0.2
910	0	0.2
911	0.031	0.32
912	0.01	0.22
913	0.002	0.2
914	0	0.2
915	0	0.2
916	0	0.2
917	0	0.2
918	0.011	0.23
919	0.004	0.2
920	0.001	0.2
921	0	0.2
922	0	0.2
923	0	0.2
924	0.017	0.26
925	0.005	0.2
926	0.001	0.2
927	0	0.2
928	0	0.2
929	0	0.2
930	0	0.2
931	0	0.2
932	0	0.2
933	0	0.2
934	0	0.2
935	0	0.2
936	0	0.2
937	0	0.2
938	0	0.2
939	0.006	0.2
940	0.023	0.29
941	0.015	0.25
942	0.003	0.2
943	0.001	0.2
944	0	0.2
945	0	0.2
946	0	0.2
947	0.013	0.24
948	0.009	0.21
949	0.002	0.2
950	0	0.2
951	0	0.2
952	0	0.2
953	0	0.2
954	0	0.2
955	0	0.2
956	0	0.2
957	0.006	0.2
958	0.003	0.2
959	0.001	0.2
960	0	0.2
961	0.013	0.24
962	0.004	0.2
963	0.001	0.2
964	0	0.2
965	0	0.2
966	0.009	0.21
967	0.003	0.2
968	0.017	0.26
969	0.005	0.2
970	0.001	0.2
971	0.116	0.49
972	0.095	0.46
973	0.035	0.33
974	0.02	0.27
975	0.006	0.2
976	0	0.2
977	0	0.2
978	0	0.2
979	0	0.2
980	0	0.2
981	0	0.2
982	0	0.2
983	0	0.2
984	0	0.2
985	0.014	0.25
986	0.004	0.2
987	0.001	0.2
988	0.004	0.2
989	0.012	0.23
990	0.005	0.2
991	0.057	0.39
992	0.038	0.34
993	0.012	0.24
994	0.004	0.2
995	0.012	0.23
996	0.003	0.2
997	0.001	0.2
998	0	0.2
999	0	0.2
1000	0	0.2
1001	0	0.2
1002	0	0.2
1003	0.02	0.27
1004	0.006	0.2
1005	0.001	0.2
1006	0.026	0.3
1007	0.008	0.21
1008	0.002	0.2
1009	0	0.2
1010	0.006	0.2
1011	0.002	0.2
1012	0	0.2
1013	0	0.2
1014	0	0.2
1015	0.004	0.2
1016	0.001	0.2
1017	0	0.2
1018	0.04	0.35
1019	0.013	0.24
1020	0.003	0.2
1021	0.024	0.29
1022	0.008	0.2
1023	0.002	0.2
1024	0.027	0.3
1025	0.038	0.34
1026	0.009	0.21
1027	0.002	0.2
1028	0	0.2
1029	0	0.2
1030	0	0.2
1031	0	0.2
1032	0	0.2
1033	0	0.2
1034	0	0.2
1035	0	0.2
1036	0	0.2
1037	0	0.2
1038	0	0.2
1039	0	0.2
1040	0.029	0.31
1041	0.079	0.43
1042	0.04	0.35
1043	0.031	0.32
1044	0.018	0.26
1045	0.018	0.27
1046	0.006	0.2
1047	0.014	0.24
1048	0.004	0.2
1049	0.001	0.2
1050	0	0.2
1051	0	0.2
1052	0	0.2
1053	0	0.2
1054	0	0.2
1055	0	0.2
1056	0	0.2
1057	0	0.2
1058	0	0.2
1059	0	0.2
1060	0.038	0.34
1061	0.012	0.23
1062	0.003	0.2
1063	0	0.2
1064	0.004	0.2
1065	0.001	0.2
1066	0	0.2
1067	0.02	0.27
1068	0.006	0.2
1069	0.001	0.2
1070	0	0.2
1071	0	0.2
1072	0	0.2
1073	0	0.2
1074	0.005	0.2
1075	0.002	0.2
1076	0.007	0.2
1077	0.002	0.2
1078	0	0.2
1079	0	0.2
1080	0	0.2
1081	0	0.2
1082	0	0.2
1083	0	0.2
1084	0	0.2
1085	0.002	0.2
1086	0.002	0.2
1087	0	0.2
1088	0	0.2
1089	0	0.2
1090	0	0.2
1091	0	0.2
1092	0	0.2
1093	0	0.2
1094	0	0.2
1095	0.001	0.2
1096	0.003	0.2
1097	0.001	0.2
1098	0	0.2
1099	0	0.2
1100	0.018	0.26
1101	0.006	0.2
1102	0.001	0.2
1103	0	0.2
1104	0	0.2
1105	0	0.2
1106	0	0.2
1107	0	0.2
1108	0	0.2
1109	0	0.2
1110	0.003	0.2
1111	0.001	0.2
1112	0.019	0.27
1113	0.067	0.41
1114	0.028	0.31
1115	0.01	0.22
1116	0.004	0.2
1117	0.001	0.2
1118	0.024	0.29
1119	0.008	0.2
1120	0.002	0.2
1121	0.01	0.22
1122	0.003	0.2
1123	0.001	0.2
1124	0	0.2
1125	0	0.2
1126	0	0.2
1127	0	0.2
1128	0.011	0.23
1129	0.015	0.25
1130	0.003	0.2
