"water","period","variable","estimate","stdE","Z","diff.Pval"
"suwa","before","airt.march.kyoto",2.10012699485813,1.18703256148387,1.37473958857997,0.0745297510566744
"suwa","after","airt.march.kyoto",-1.66093453893878,3.26080497152784,-0.560236683431086,0.0745297510566744
"suwa","before","co2",1.19216051924875,1.68559532413625,0.765555006012037,0.0354099604300363
"suwa","after","co2",5.92157819212167,3.3688437420297,2.10885587429153,0.0354099604300363
"suwa","before","enso",-0.182495348438473,1.58822816947583,-0.115195280758319,0.0996570347748825
"suwa","after","enso",-3.60314703762686,2.72780156614707,-1.2540822094679,0.0996570347748825
"tornio","before","air.t.stock",-0.650374417678311,0.536948751465415,-1.21124113968668,0.0343484706240687
"tornio","after","air.t.stock",-2.8148864575432,0.509472048994916,-5.52510478856768,0.0343484706240687
"tornio","before","co2",1.42992079451188,0.528096157211786,2.7076902094147,0.1270310712769
"tornio","after","co2",-0.154904348066196,0.550607384073005,-0.281333582779662,0.1270310712769
"tornio","before","nao.djfm",-0.680539254899843,0.536731357483018,-1.26793272912394,0.242968028764912
"tornio","after","nao.djfm",-1.88319477353168,0.524216647392964,-3.59239788148124,0.242968028764912
"tornio","before","sunspots",-0.682656707620123,0.543708725953151,-1.2555559163105,0.885297153353155
"tornio","after","sunspots",-0.53186236043927,0.548972402081462,-0.968832601461716,0.885297153353155
