Year	DOY	ENSO	CO2	Sunspots	Airtemp
1897	-6	1.236	295.7951	26.2	14.275
1898	17	1.147	295.9337	26.7	14.554
1899	8	-1.024	296.005	12.1	14.434
1900	18	-0.048	296.042	9.4	15.02
1901	-1	0.474	296.0795	2.7	14.852
1902	14	-2.025	296.1529	5.1	14.945
1903	-10	1.746	296.2935	24.4	14.843
1904	-7	-2.409	296.5177	42.1	14.982
1905	15	1.102	296.8311	63.3	14.443
1906	-2	0.763	297.2125	54.1	14.731
1907	-8	1.277	297.6338	61.7	15.01
1908	1	0.441	298.0673	48.5	14.629
1909	-5	-0.058	298.4849	43.9	15.057
1910	2	-1.815	298.8677	18.5	14.731
1911	3	-0.982	299.2334	5.7	14.806
1912	1	0.784	299.6083	3.6	14.517
1913	7	-0.186	300.0134	1.4	14.396
1914	9	1.151	300.4466	9.6	14.992
1915	41	1.106	300.8996	47.4	14.852
1916	7	-0.057	301.3623	57	15.41
1917	-9	-0.905	301.8241	104.2	13.671
1918	5	-1.828	302.2744	80.8	14.071
1919	25	0.684	302.7027	63.5	14.201
1920	7	1.404	303.1019	37.6	15.224
1921	4	0.461	303.4792	26.1	15.113
1922	-12	-0.819	303.8453	14.2	13.959
1923	23	-0.129	304.2108	5.8	15.094
1924	14	0.652	304.5818	16.7	14.694
1925	2	-2.262	304.9478	44.4	15.401
1926	-6	1.012	305.3054	63.9	14.099
1927	3	0.771	305.6541	68.8	14.536
1928	-1	0.217	305.9935	77.8	15.131
1929	8	-0.855	306.3231	64.9	14.043
1930	10	0.157	306.6445	35.6	14.489
1931	41	0.015	306.9672	21.1	14.136
1932	13	1.325	307.303	11.1	14.006
1933	5	0.416	307.6635	5.5	14.787
1934	37	-2.694	308.0582	8.7	15.243
1935	-11	1.04	308.4879	36.1	14.35
1936	12	-0.552	308.9476	79.7	14.685
1937	3	0.43	309.4196	114.4	14.229
1938	3	0.931	309.8808	109.6	15.048
1939	16	-1.74	310.2987	88.8	14.973
1940	32	-1.08	310.6366	67.8	13.652
1941	19	1.902	310.8735	47.5	13.95
1942	5	1.221	311.0148	30.4	14.303
1943	8	-0.93	311.0723	16.3	14.638
1944	2	0.311	311.078	9.7	14.899
1945	-5	0.431	311.0677	33.2	14.545
1946	3	-1.302	311.079	92.6	14.796
1947	-12	0.489	311.1283	151.6	13.652
1948	41	-0.124	311.2316	136.3	14.554
1949	11	1.261	311.3967	134.7	14.592
1950	-3	-0.624	311.6149	83.9	15.085
1951	12	-0.97	311.8748	69.4	14.099
1952	4	1.412	312.183	31.5	14.527
1953	24	0.024	312.5505	13.9	14.015
1954	3	-0.871	312.9866	4.4	14.871
1955	12	-0.112	313.4854	38	14.368
1956	-7	-1.526	314.0156	141.7	14.554
1957	24	0.52	314.5505	190.2	14.294
1958	14	1.804	315.1034	184.8	14.62
1959	24	-0.855	315.6873	159	15.066
1960	12	0.345	316.2962	112.3	14.582
1961	41	-0.873	316.9137	53.9	15.038
1962	12	0.934	317.5256	37.5	14.573
1963	36	-0.626	318.137	27.9	14.471
1964	14	-0.944	318.7672	10.2	14.415
1965	2	1.418	319.4374	15.1	14.545
1966	-4	-0.163	320.1606	47	14.322
1967	-7	-0.693	320.9385	93.8	14.936
1968	8	0.478	321.771	105.9	14.564
1969	-11	0.957	322.6602	105.5	13.475
1970	5	0.288	323.6044	104.5	14.796
1971	41	-1.466	324.5984	66.6	14.052
1972	15	-0.588	325.6403	68.9	14.582
1973	-7	2.052	326.732	38	14.415
1974	13	-1.747	327.8725	34.5	14.815
1975	12	1.212	329.0619	15.5	14.88
1976	-2	-0.094	330.3074	12.6	14.536
1977	22	-1.576	331.6139	27.5	14.722
1978	41	0.27	332.9802	92.5	14.778
1979	18	1.87	334.3961	155.4	14.768
1980	-1	-0.827	335.8481	154.6	15.029
1981	17	-0.856	337.321	140.5	13.838
1982	23	-0.565	338.8044	115.9	15.271
1983	5	1.653	340.2969	66.8	15.001
1984	5	0.203	341.7973	45.7	15.782
1985	6	-0.089	343.3018	18	14.871
1986	41	-0.409	344.8094	13.4	15.196
1987	41	1.672	346.316	29.4	14.434
1988	41	-0.73	347.8117	100.2	15.215
1989	25	-1.475	349.281	157.6	14.824
1990	23	-0.998	350.7144	142.6	14.973
1991	41	-0.109	352.1146	145.7	15.066
1992	41	1.379	353.4944	94.3	14.359
1993	41	1.873	354.8775	54.6	14.889
1994	41	-1.652	356.2925	29.9	15.531
1995	11	0.531	357.7644	17.5	14.75
1996	22	-0.758	359.3041	8.6	14.396
1997	10	-0.393	360.9143	21.5	14.61
